,Relation,Accuracy,Count,Dataset
101,of,0.4659400544959128,367,Visual Genome Relation
102,on,0.5564133016627079,1684,Visual Genome Relation
103,on the back of,0.0,4,Visual Genome Relation
104,on the edge of,1.0,2,Visual Genome Relation
105,on the front of,0.375,8,Visual Genome Relation
106,on the other side of,0.0,1,Visual Genome Relation
107,on the side of,0.4,45,Visual Genome Relation
108,on top of,0.46766169154228854,201,Visual Genome Relation
109,opening,0.5,2,Visual Genome Relation
110,painted on,0.0,3,Visual Genome Relation
111,parked at,0.5,4,Visual Genome Relation
112,parked beside,1.0,1,Visual Genome Relation
113,parked by,1.0,3,Visual Genome Relation
114,parked in,0.5714285714285714,7,Visual Genome Relation
115,parked in front of,0.6666666666666666,3,Visual Genome Relation
116,parked near,1.0,2,Visual Genome Relation
117,parked next to,0.5,4,Visual Genome Relation
118,parked on,0.8095238095238095,21,Visual Genome Relation
119,perched on,1.0,2,Visual Genome Relation
120,petting,0.0,2,Visual Genome Relation
121,piled on,0.0,1,Visual Genome Relation
122,playing,0.5,2,Visual Genome Relation
123,playing in,0.8571428571428571,7,Visual Genome Relation
124,playing on,0.75,4,Visual Genome Relation
125,playing with,1.0,4,Visual Genome Relation
126,pouring,0.0,1,Visual Genome Relation
127,pulled by,0.6666666666666666,9,Visual Genome Relation
128,pulling,0.7777777777777778,9,Visual Genome Relation
129,reaching for,1.0,1,Visual Genome Relation
130,reading,0.4,5,Visual Genome Relation
131,reflected in,0.21428571428571427,14,Visual Genome Relation
132,reflected on,0.0,2,Visual Genome Relation
133,resting on,0.6153846153846154,13,Visual Genome Relation
134,riding,0.37254901960784315,51,Visual Genome Relation
135,riding on,0.5,4,Visual Genome Relation
136,running in,0.0,1,Visual Genome Relation
137,running on,1.0,3,Visual Genome Relation
138,running through,0.5,2,Visual Genome Relation
139,seen through,1.0,1,Visual Genome Relation
140,sitting at,0.6153846153846154,26,Visual Genome Relation
141,sitting behind,0.5,2,Visual Genome Relation
142,sitting beside,0.5,2,Visual Genome Relation
143,sitting by,0.3333333333333333,3,Visual Genome Relation
144,sitting in,0.5652173913043478,23,Visual Genome Relation
145,sitting in front of,1.0,4,Visual Genome Relation
146,sitting near,1.0,3,Visual Genome Relation
147,sitting next to,0.0,4,Visual Genome Relation
148,sitting on,0.6057142857142858,175,Visual Genome Relation
149,sitting on top of,0.6,10,Visual Genome Relation
150,sitting under,0.5,2,Visual Genome Relation
151,skiing down,1.0,1,Visual Genome Relation
152,skiing on,1.0,2,Visual Genome Relation
153,sleeping in,0.0,1,Visual Genome Relation
154,sleeping on,1.0,5,Visual Genome Relation
155,smiling at,0.0,1,Visual Genome Relation
156,sniffing,0.0,2,Visual Genome Relation
157,splashing,1.0,1,Visual Genome Relation
158,sprinkled on,0.0,1,Visual Genome Relation
159,stacked on,0.0,1,Visual Genome Relation
160,standing against,1.0,3,Visual Genome Relation
161,standing around,1.0,1,Visual Genome Relation
162,standing behind,0.5,6,Visual Genome Relation
163,standing beside,0.5,4,Visual Genome Relation
164,standing by,0.6666666666666666,12,Visual Genome Relation
165,standing in,0.5423728813559322,59,Visual Genome Relation
166,standing in front of,1.0,5,Visual Genome Relation
167,standing near,0.8571428571428571,7,Visual Genome Relation
168,standing next to,0.2857142857142857,7,Visual Genome Relation
169,standing on,0.40384615384615385,52,Visual Genome Relation
170,staring at,1.0,2,Visual Genome Relation
171,stuck in,0.3333333333333333,3,Visual Genome Relation
172,surrounded by,0.5714285714285714,14,Visual Genome Relation
173,surrounding,0.5,8,Visual Genome Relation
174,swimming in,0.5,2,Visual Genome Relation
175,swinging,0.6666666666666666,6,Visual Genome Relation
176,talking to,0.3333333333333333,3,Visual Genome Relation
177,to the left of,0.5177625629763597,7741,Visual Genome Relation
178,to the right of,0.490763467252293,7741,Visual Genome Relation
179,topped with,1.0,3,Visual Genome Relation
180,touching,0.8571428571428571,7,Visual Genome Relation
181,traveling down,0.0,1,Visual Genome Relation
182,traveling on,1.0,1,Visual Genome Relation
183,tying,0.5,2,Visual Genome Relation
184,typing on,1.0,1,Visual Genome Relation
185,under,0.5606060606060606,132,Visual Genome Relation
186,underneath,0.3333333333333333,6,Visual Genome Relation
187,using,0.47368421052631576,19,Visual Genome Relation
188,wading in,0.5,2,Visual Genome Relation
189,waiting for,1.0,2,Visual Genome Relation
190,walking across,1.0,1,Visual Genome Relation
191,walking by,0.0,1,Visual Genome Relation
192,walking down,0.75,4,Visual Genome Relation
193,walking in,0.9,10,Visual Genome Relation
194,walking next to,1.0,2,Visual Genome Relation
195,walking on,0.631578947368421,19,Visual Genome Relation
196,walking through,0.0,1,Visual Genome Relation
197,watching,0.2727272727272727,22,Visual Genome Relation
198,wearing,0.6375131717597471,949,Visual Genome Relation
199,with,0.44642857142857145,112,Visual Genome Relation
200,working in,0.0,1,Visual Genome Relation
201,working on,0.16666666666666666,6,Visual Genome Relation
202,worn on,0.0,2,Visual Genome Relation
203,wrapped around,0.0,1,Visual Genome Relation
204,wrapped in,1.0,2,Visual Genome Relation
